what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278554647231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278554648816
activated,view,org.epic.perleditor,0.6.23,"org.epic.perleditor.views.ExplainErrorsView",1278554656958
activated,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278554658106
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1278554659861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278554659925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278554660934
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1278554662821
activated,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278554672347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554685871
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554694520
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1278554698954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278554699017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278554699575
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1278554710738
activated,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278554710780
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1278554716272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554716439
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1278554719591
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554719741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554731860
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554764740
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554768819
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554779184
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278554784966
