what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1278553110658
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1278553113526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553113952
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1278553119785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553130437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553133303
activated,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278553134165
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553137130
opened,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278553142054
activated,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278553142115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1278553142237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553142262
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553147148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553148124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553149070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553151930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553152829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553154388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553177564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553209129
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1278553211507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553215262
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553216812
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278553222069
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553233460
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553250600
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553254184
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1278553258210
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1278553259791
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1278553259936
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553260111
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1278553264456
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textStart",1278553264680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1278553265287
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1278553287260
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553296513
activated,view,org.epic.perleditor,0.6.23,"org.epic.perleditor.views.PerlDocView",1278553299700
activated,editor,org.epic.perleditor,0.6.23,"org.epic.perleditor.editors.PerlEditor",1278553352496
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1278553354631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278553355046
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1278553380202
